start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
FAA,ICAO,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION
03NV,,LLAMA RANCH,NV,40.58444444444444,-115.29777777777778,6120.0
03NY,,TALMAGE FLD,NY,40.95843166666666,-72.716765,95.0
03OH,,GIBBS FIELD,OH,41.41838527777778,-83.0174161111111,580.0
03OI,,MARYMOUNT HOSPITAL,OH,41.42088611111111,-81.59984666666666,890.0
03OK,,SAHOMA LAKE,OK,36.04119722222222,-96.1613888888889,890.0
03OR,,POWWATKA RIDGE,OR,45.855421944444444,-117.48434416666667,3340.0
03PA,,COLLEGEVILLE,PA,40.16288222222222,-75.46574027777777,197.0
03PN,,M.P. METALS,PA,41.066861111111116,-76.18080555555557,479.0
03PS,,ZIGGY'S FIELD,PA,40.85,-77.90555555555555,1050.0
03S,,SANDY RIVER,OR,45.40161111111111,-122.22869444444444,704.0
03SC,,SEACOAST MEDICAL CENTER,SC,33.865,-78.66194444444444,73.0
03TA,,MIDLAND MEMORIAL HOSPITAL,TX,31.996750000000002,-102.10094444444445,2814.0
03TE,,BARRONENA RANCH,TX,27.491144444444444,-98.66946138888889,600.0
03TN,,EAGLES LANDING,TN,35.9225,-83.57944444444445,1000.0
03TS,,SHANNON MEDICAL CENTER,TX,31.459883333333334,-100.43759305555557,1825.0
03TX,,M D K FIELD,TX,29.581621666666667,-95.30715888888889,50.0
03UT,,A Z MINERALS CORPORATION,UT,37.12083444444444,-109.98595722222223,5315.0
03VA,,SPOTSYLVANIA REGIONAL MEDICAL CENTER,VA,38.216388888888886,-77.49555555555555,237.0
03WA,,SPANGLE FIELD,WA,47.40822694444444,-117.37186361111111,2440.0
03WN,,AEROSTONE RANCH,WA,45.87504166666667,-120.6725,2320.0
03WT,,LOPEZ MEDICAL CLINIC,WA,48.52493333333334,-122.91238888888888,38.0
03XA,,DEL SOL MEDICAL CENTER,TX,31.757416666666664,-106.34697222222222,3881.0
03XS,,CREEKSIDE,TX,31.318055555555556,-100.75416666666666,2100.0
04A,,FRANK SIKES,AL,31.736138888888892,-86.26222222222222,300.0
04AL,,ANNISTON AHP (ANNISTON ARMY DEPOT),AL,33.62638888888889,-85.96722222222222,686.0
04AR,,SALINE MEMORIAL HOSPITAL,AR,34.57398138888889,-92.58293888888889,430.0
04CA,,GRAY BUTTE FIELD,CA,34.56662222222222,-117.67038333333333,3028.0
04CL,,HUNT'S SKY RANCH,CA,33.08171083333333,-116.44140444444444,2310.0
