start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
AIRPORT,RUNWAY,LENGTH,LATITUDE,LONGITUDE,ELEVATION,WIDTH,LANDING_LATITUDE,LANDING_LONGITUDE,LANDING_ELEVATION
PABI,25,4077,63.99106583333333,-145.70497666666665,1262.5,90,,,
PABI,10,6115,63.99971347222222,-145.73545702777778,1253.8,150,,,
PABI,28,6115,63.99022352777778,-145.70410327777776,1261.5,150,,,
11AK,08,2200,,,,30,,,
11AK,26,2200,,,,30,,,
11AK,15,1000,,,,30,,,
11AK,33,1000,,,,30,,,
D66,07,2500,,,,60,,,
D66,25,2500,,,,60,,,
AA22,15,2350,,,,60,,,
AA22,33,2350,,,,60,,,
29AK,12,1800,,,,75,,,
29AK,30,1800,,,,75,,,
45AK,11,2600,,,,40,,,
45AK,29,2600,,,,40,,,
AK09,15,2380,,,,100,,,
AK09,33,2380,,,,100,,,
9AK4,15,2800,,,,60,,,
9AK4,33,2800,,,,60,,,
AK35,H1,300,,,,300,,,
AK35,,300,,,,300,,,
72AK,H1,300,,,,300,,,
72AK,,300,,,,300,,,
AK77,09,5500,,,,75,,,
AK77,27,5500,,,,75,,,
76AK,07,3000,,,,75,,,
76AK,25,3000,,,,75,,,
PADL,01,6400,59.036837722222224,-158.51309216666667,74.9,150,,,
PADL,19,6400,59.052510166666664,-158.49793130555557,65.2,150,,,
AK21,16,1000,,,,50,,,
AK21,34,1000,,,,50,,,
0Z3,NE,1400,,,,100,,,
0Z3,SW,1400,,,,100,,,
DM2,H1,64,65.75859166666666,-168.95314444444443,20.5,64,,,
DM2,,64,,,,64,,,
PAAM,14,3500,,,,100,,,
PAAM,32,3500,,,,100,,,
PAEG,07,3600,64.77830469444444,-141.16112958333335,901.4,75,,,
PAEG,25,3600,64.77788141666666,-141.1380837222222,907.7,75,,,
47AK,06,1400,,,,50,,,
47AK,24,1400,,,,50,,,
D72,N,3500,,,,200,,,
D72,S,3500,,,,200,,,
PAEE,17,3242,60.21807661111111,-162.0424927777778,25.2,60,,,
PAEE,35,3242,60.20931863888889,-162.04531113888888,23.1,60,,,
PAII,03,1500,58.18428888888889,-157.37510833333334,80.2,75,,,
PAII,21,1500,58.18694166666666,-157.36918055555557,78.7,75,,,
PAII,12,5600,58.19130277777778,-157.3856861111111,80.7,100,,,
PAII,30,5600,58.179611111111114,-157.36692777777776,92.3,100,,,
